Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
23ARS-RTH0001	NA	23ARS-RTH0001_00041	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.51	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
23ARS-RTH0001	NA	23ARS-RTH0001_00042	1	630	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	210	210	100.00	99.52	210	ACF30254.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
23ARS-RTH0001	NA	23ARS-RTH0001_00044	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.23	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
23ARS-RTH0001	NA	23ARS-RTH0001_00242	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	459	459	100.00	99.78	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
23ARS-RTH0001	NA	23ARS-RTH0001_00618	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
23ARS-RTH0001	NA	23ARS-RTH0001_00786	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.41	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
23ARS-RTH0001	NA	23ARS-RTH0001_02052	1	858	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
23ARS-VSM0477	NA	23ARS-VSM0477_00034	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	459	459	100.00	99.78	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
23ARS-VSM0477	NA	23ARS-VSM0477_00596	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.76	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
23ARS-VSM0477	NA	23ARS-VSM0477_00597	1	585	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	195	210	92.86	99.49	195	CAA81047.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
23ARS-VSM0477	NA	23ARS-VSM0477_00599	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.43	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
23ARS-VSM0477	NA	23ARS-VSM0477_01058	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
23ARS-VSM0477	NA	23ARS-VSM0477_01189	1	1917	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.90	639	WP_063856403.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
23ARS-VSM0477	NA	23ARS-VSM0477_01296	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.41	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
23ARS-VSM0477	NA	23ARS-VSM0477_01996	1	858	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
23ARS-VSM0181	NA	23ARS-VSM0181_00031	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	459	459	100.00	100.00	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
23ARS-VSM0181	NA	23ARS-VSM0181_00525	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.76	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
23ARS-VSM0181	NA	23ARS-VSM0181_00526	1	585	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	195	210	92.86	99.49	195	CAA81047.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
23ARS-VSM0181	NA	23ARS-VSM0181_00528	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.43	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
23ARS-VSM0181	NA	23ARS-VSM0181_01110	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
23ARS-VSM0181	NA	23ARS-VSM0181_01190	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.41	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
23ARS-VSM0181	NA	23ARS-VSM0181_01294	1	1917	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.90	639	WP_063856403.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
23ARS-VSM0181	NA	23ARS-VSM0181_01997	1	858	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
23ARS-SLH0026	NA	23ARS-SLH0026_00448	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.76	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
23ARS-SLH0026	NA	23ARS-SLH0026_00449	1	630	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	210	210	100.00	100.00	210	CAA81047.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
23ARS-SLH0026	NA	23ARS-SLH0026_00451	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.23	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
23ARS-SLH0026	NA	23ARS-SLH0026_00506	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	459	459	100.00	99.78	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
23ARS-SLH0026	NA	23ARS-SLH0026_00969	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
23ARS-SLH0026	NA	23ARS-SLH0026_01145	1	1917	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.90	639	WP_063856403.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
23ARS-SLH0026	NA	23ARS-SLH0026_01291	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.80	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
23ARS-SLH0026	NA	23ARS-SLH0026_02043	1	858	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
23ARS-MAR0191	NA	23ARS-MAR0191_00391	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.76	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
23ARS-MAR0191	NA	23ARS-MAR0191_00392	1	630	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	210	210	100.00	100.00	210	ACF30254.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
23ARS-MAR0191	NA	23ARS-MAR0191_00394	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	98.47	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
23ARS-MAR0191	NA	23ARS-MAR0191_00591	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	459	459	100.00	100.00	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
23ARS-MAR0191	NA	23ARS-MAR0191_00957	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
23ARS-MAR0191	NA	23ARS-MAR0191_01090	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.80	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
23ARS-MAR0191	NA	23ARS-MAR0191_02015	1	858	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
23ARS-GMH0023	NA	23ARS-GMH0023_00325	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.76	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
23ARS-GMH0023	NA	23ARS-GMH0023_00326	1	630	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	210	210	100.00	99.52	210	ACF30254.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
23ARS-GMH0023	NA	23ARS-GMH0023_00328	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.62	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
23ARS-GMH0023	NA	23ARS-GMH0023_00480	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.80	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
23ARS-GMH0023	NA	23ARS-GMH0023_00526	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	459	459	100.00	99.56	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
23ARS-GMH0023	NA	23ARS-GMH0023_01049	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
23ARS-GMH0023	NA	23ARS-GMH0023_01140	1	1917	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.90	639	WP_063856403.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
23ARS-GMH0023	NA	23ARS-GMH0023_01997	1	858	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
22ARS-GMH0080	NA	22ARS-GMH0080_00583	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	459	459	100.00	99.78	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
22ARS-GMH0080	NA	22ARS-GMH0080_00727	1	1236	+	mtrC	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	412	412	100.00	99.76	412	AAA80193.1	multidrug efflux RND transporter periplasmic adaptor subunit MtrC	NA	NA
22ARS-GMH0080	NA	22ARS-GMH0080_00728	1	585	+	mtrR	multidrug efflux system transcriptional repressor MtrR	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	195	210	92.86	99.49	195	CAA81047.1	multidrug efflux system transcriptional repressor MtrR	NA	NA
22ARS-GMH0080	NA	22ARS-GMH0080_00730	1	1566	+	mtrF	AbgT family antimetabolite efflux transporter MtrF	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	522	533	97.94	99.43	522	ACF30256.1	AbgT family antimetabolite efflux transporter MtrF	NA	NA
22ARS-GMH0080	NA	22ARS-GMH0080_00958	1	903	+	mtrA	efflux transporter MtrCDE transcriptional activator MtrA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	301	301	100.00	100.00	301	AAD44693.1	efflux transporter MtrCDE transcriptional activator MtrA	NA	NA
22ARS-GMH0080	NA	22ARS-GMH0080_01038	1	1521	+	farB	fatty acid resistance MFS efflux transporter permease subunit FarB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	507	507	100.00	99.41	507	AAD54074.1	fatty acid resistance MFS efflux transporter permease subunit FarB	NA	NA
22ARS-GMH0080	NA	22ARS-GMH0080_01152	1	1917	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.90	639	WP_063856403.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
22ARS-GMH0080	NA	22ARS-GMH0080_01980	1	858	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
23ARS-RTH0004	NA	23ARS-RTH0004_00078	1	1377	+	norM	sodium-coupled multidrug efflux MATE transporter NorM	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	459	459	100.00	100.00	459	EFF39147.1	sodium-coupled multidrug efflux MATE transporter NorM	NA	NA
